Column1,schid,schname,distid,dist,city,county,type,District Type,low,PSAE
509,5.11E+14,Riverton High School,5.11E+14,Riverton CUSD 14,Riverton,Sangamon,HIGH SCHOOL,Non Chicago School,17,49.1
510,4.31E+14,Roanoke-Benson High School,4.31E+14,Roanoke Benson CUSD 60,Roanoke,Woodford,HIGH SCHOOL,Non Chicago School,8.9,74.3
511,1.20E+14,Robinson High School,1.20E+14,Robinson CUSD 2,Robinson,Crawford,HIGH SCHOOL,Non Chicago School,26.1,57.8
512,4.71E+14,Rochelle Twp High School,4.71E+14,Rochelle Twp HSD 212,Rochelle,Ogle,HIGH SCHOOL,Non Chicago School,14,55.1
513,51084003A260001,Rochester High School,51084003A260000,Rochester CUSD 3A,Rochester,Sangamon,HIGH SCHOOL,Non Chicago School,3.1,74.7
514,5.51E+14,Rock Falls Township High School,5.51E+14,Rock Falls Twp HSD 301,Rock Falls,Whiteside,HIGH SCHOOL,Non Chicago School,30.5,60.7
515,4.91E+14,Rock Island High School,4.91E+14,Rock Island SD 41,Rock Island,Rock Island,HIGH SCHOOL,Non Chicago School,41,44.8
516,4.10E+13,Auburn High School,4.10E+13,Rockford SD 205,Rockford,Winnebago,HIGH SCHOOL,Non Chicago School,50.4,54.9
517,4.10E+13,Guilford High School,4.10E+13,Rockford SD 205,Rockford,Winnebago,HIGH SCHOOL,Non Chicago School,30.7,56.2
518,4.10E+13,Rockford East High School,4.10E+13,Rockford SD 205,Rockford,Winnebago,HIGH SCHOOL,Non Chicago School,44,35.6
519,4.10E+13,Jefferson High School,4.10E+13,Rockford SD 205,Rockford,Winnebago,HIGH SCHOOL,Non Chicago School,41,47.3
520,4.91E+14,Rockridge High School,4.91E+14,Rockridge CUSD 300,Taylor Ridge,Rock Island,HIGH SCHOOL,Non Chicago School,8.2,44.2
521,2.71E+14,ROSEVILLE HIGH SCHOOL,2.71E+14,ROSEVILLE C U SCH DIST 200,ROSEVILLE,WARREN,HIGH SCHOOL,Non Chicago School,24.5,66.7
522,5.41E+14,ROSSVILLE-ALVIN HIGH SCHOOL,5.41E+14,Rossville-Alvin CUSD 7,ROSSVILLE,VERMILION,HIGH SCHOOL,Non Chicago School,26.8,40
523,3.40E+14,Round Lake Senior High School,3.40E+14,Round Lake CUSD 116,Round Lake,Lake,HIGH SCHOOL,Non Chicago School,49.7,38.5
524,4.11E+14,Roxana Sr High School,4.11E+14,Roxana CUSD 1,Roxana,Madison,HIGH SCHOOL,Non Chicago School,23.5,50.1
525,1.31E+14,Salem Community High School,1.31E+14,Salem CHSD 600,Salem,Marion,HIGH SCHOOL,Non Chicago School,22.6,56.7
526,1.31E+14,Sandoval Sr High School,1.31E+14,Sandoval CUSD 501,Sandoval,Marion,HIGH SCHOOL,Non Chicago School,47,54.8
527,1.60E+14,Sandwich Community High School,1.60E+14,Sandwich CUSD 430,Sandwich,Dekalb,HIGH SCHOOL,Non Chicago School,10.1,53.3
528,8.01E+13,SAVANNA SENIOR HIGH SCHOOL,8.01E+13,SAVANNA COMMUNITY UNIT DIST 300,SAVANNA,CARROLL,HIGH SCHOOL,Non Chicago School,49.1,48.8
529,8.04E+13,Scales Mound High School,8.04E+13,Scales Mound CUSD 211,Scales Mound,Jo Daviess,HIGH SCHOOL,Non Chicago School,13.6,58.1
530,2.21E+14,RUSHVILLE HIGH SCHOOL,2.21E+14,SCHUYLER CO C U SCH DIST 1,RUSHVILLE,SCHUYLER,HIGH SCHOOL,Non Chicago School,26.5,53.6
531,4.61E+14,Bluffs High School,4.61E+14,Scott-Morgan CUSD 2,Bluffs,Scott,HIGH SCHOOL,Non Chicago School,36.3,23.8
532,3.10E+14,Bartlett High School,3.10E+14,SD U-46,Bartlett,Kane,HIGH SCHOOL,Non Chicago School,8.1,62
