Column1,schid,schname,distid,dist,city,county,type,District Type,low,ISAT
301,1.50E+14,Shoop Math-Sci Tech Elem Academy,1.50E+14,City of Chicago SD 299,Chicago,Cook,ELEMENTARY,Chicago School,92.8,40.4
302,1.50E+14,Gresham Elem School,1.50E+14,City of Chicago SD 299,Chicago,Cook,ELEMENTARY,Chicago School,92.9,29.6
303,1.50E+14,White Elem Career Academy,1.50E+14,City of Chicago SD 299,Chicago,Cook,ELEMENTARY,Chicago School,95.6,38.7
304,1.50E+14,Nightingale Elem School,1.50E+14,City of Chicago SD 299,Chicago,Cook,ELEMENTARY,Chicago School,95.6,52.8
305,1.50E+14,Eberhart Elem School*,1.50E+14,City of Chicago SD 299,Chicago,Cook,ELEMENTARY,Chicago School,96,59.6
306,1.50E+14,Woodson South Elem School,1.50E+14,City of Chicago SD 299,Chicago,Cook,ELEMENTARY,Chicago School,96.2,45.7
307,1.50E+14,Columbia Explorers Elem Academy,1.50E+14,City of Chicago SD 299,Chicago,Cook,ELEMENTARY,Chicago School,97.6,57.7
308,1.50E+14,SmythJ Elem School*,1.50E+14,City of Chicago SD 299,Chicago,Cook,ELEMENTARY,Chicago School,98.8,23.4
309,1.50E+14,Ericson Elem Scholastic Academy*,1.50E+14,City of Chicago SD 299,Chicago,Cook,ELEMENTARY,Chicago School,95.4,39.3
310,1.50E+14,Zapata Elem Academy,1.50E+14,City of Chicago SD 299,Chicago,Cook,ELEMENTARY,Chicago School,97,59
311,1.50E+14,Sawyer Elem School,1.50E+14,City of Chicago SD 299,Chicago,Cook,ELEMENTARY,Chicago School,97.6,63.8
312,1.50E+14,Hanson Park Elem School,1.50E+14,City of Chicago SD 299,Chicago,Cook,ELEMENTARY,Chicago School,88.8,62.6
313,1.50E+14,Hay Elem Community Academy,1.50E+14,City of Chicago SD 299,Chicago,Cook,ELEMENTARY,Chicago School,94.1,30.6
314,1.50E+14,Ames Middle School*,1.50E+14,City of Chicago SD 299,Chicago,Cook,ELEMENTARY,Chicago School,95.6,32.8
